,checking_acc_numeric,time_credit_acc,credit_history_numeric,purpose_numeric,amount,savings_acc_numeric,p_employment_time_numeric,installment_rate,marita_status_sex_numeric,other_debtors_numeric,p_residence_time,property_numeric,age,other_installment_numeric,housing_numeric,number_of_credits,job_numeric,dependants,has_phone_numeric,foreign_worker_numeric,is_good,nearest_neighbors,random_forest
543,3,18,4,3,2864,1,3,2,1,1,1,4,34,0,1,1,2,2,0,1,2,0.7,0.3875
788,2,48,2,6,6224,1,5,4,1,1,4,0,50,0,0,1,3,1,0,1,2,0.4,0.1775
631,1,18,1,3,1553,1,3,4,1,1,3,2,44,2,1,1,3,1,0,1,2,0.3,0.2175
865,4,15,4,3,2221,3,3,2,2,1,4,2,20,0,2,1,3,1,0,1,1,0.7,0.8025
510,1,12,4,2,759,1,4,4,1,1,2,4,26,0,1,1,3,1,0,1,2,0.8,0.2575
122,4,12,4,3,1768,1,3,3,1,1,2,4,24,0,2,1,2,1,0,1,1,0.9,0.91
378,2,36,4,2,14318,1,5,4,1,1,2,0,57,0,0,1,4,1,1,1,2,0.3,0.14
38,3,10,4,10,1225,1,3,2,1,1,2,2,37,0,1,1,3,1,1,1,1,0.8,0.9025
546,4,24,3,2,2022,1,3,4,2,1,4,2,37,0,1,1,3,1,1,1,1,0.9,0.8575
523,4,24,4,4,3488,2,4,3,2,1,4,2,23,0,1,1,3,1,0,1,1,1.0,0.8775
162,4,15,4,10,1262,3,4,4,1,1,3,3,36,0,1,2,3,1,1,1,1,1.0,0.95
67,2,12,4,2,1007,4,3,4,3,1,1,4,22,0,1,1,3,1,0,1,1,0.6,0.9225
124,2,18,4,3,1924,0,2,4,2,1,3,4,27,0,2,1,3,1,0,1,2,0.5,0.31
4,1,24,2,2,4870,1,3,3,1,1,4,0,53,0,0,2,3,2,0,1,2,0.2,0.165
834,3,15,4,1,2327,1,2,2,2,1,3,4,25,0,1,1,2,1,0,1,2,0.8,0.2925
759,1,12,3,2,691,1,5,4,1,1,3,3,35,0,1,2,3,1,0,1,2,0.4,0.36
427,4,18,3,1,1149,4,3,4,1,1,3,4,46,0,1,2,3,1,0,1,1,1.0,0.975
966,2,27,3,1,2520,3,3,4,1,1,2,3,23,0,1,2,2,1,0,1,2,0.8,0.26
553,2,12,3,2,1995,2,2,4,1,1,1,2,27,0,1,1,3,1,0,1,1,0.8,0.8925
506,3,15,3,4,2360,3,3,2,1,1,2,2,36,0,1,1,3,1,1,1,1,1.0,0.965
975,3,24,4,1,1258,3,3,3,2,1,3,2,57,0,1,1,2,1,0,1,1,0.7,0.9025
399,4,24,3,1,1516,4,3,4,2,1,1,4,43,0,1,2,2,1,0,1,1,0.8,0.9475
802,1,20,3,3,4272,1,5,1,2,1,4,3,24,0,1,2,3,1,0,1,1,0.7,0.85
352,4,18,3,4,3229,0,1,2,1,1,4,0,38,0,1,1,4,1,1,1,1,1.0,0.9375
839,4,24,3,1,2611,1,5,4,3,3,3,4,46,0,1,2,3,1,0,1,1,0.9,0.9175
848,1,9,4,1,1364,1,4,3,1,1,4,4,59,0,1,1,3,1,0,1,1,0.6,0.9675
260,1,12,4,3,1657,1,3,2,1,1,2,4,27,0,1,1,3,1,0,1,1,0.7,0.96
333,4,48,3,4,11590,2,3,2,2,1,4,2,24,2,2,2,2,1,0,1,2,0.8,0.1
153,2,24,3,4,7758,4,5,2,2,1,4,0,29,0,2,1,3,1,0,1,1,0.5,0.8525
396,1,12,4,3,2578,1,1,3,2,1,4,0,55,0,0,1,4,1,0,1,1,0.6,0.8725
501,1,36,4,4,5493,1,5,2,1,1,4,0,42,0,0,1,3,2,0,1,1,0.4,0.875
373,4,60,3,2,13756,0,5,2,1,1,4,0,63,2,0,1,4,1,1,1,1,0.7,0.76
312,3,24,4,3,3749,1,2,2,2,1,4,2,26,0,1,1,3,1,0,1,1,0.7,0.7925
42,2,18,2,7,6204,1,3,2,1,1,4,4,44,0,1,1,2,2,1,1,1,0.7,0.8025
758,4,24,4,2,1393,1,3,2,1,2,2,4,31,0,1,1,3,1,1,1,1,1.0,0.9625
522,1,48,0,3,7119,1,3,3,1,1,4,0,53,0,0,2,3,2,0,1,2,0.3,0.0775
650,1,48,4,6,7476,1,4,4,1,1,1,0,50,0,0,1,4,1,1,1,1,0.3,0.7475
846,4,18,4,2,6761,0,3,2,1,1,4,2,68,0,2,2,3,1,0,1,2,0.9,0.1975
623,1,12,4,3,1858,1,2,4,2,1,1,2,22,0,2,1,3,1,0,1,1,0.8,0.8925
682,4,15,2,1,1478,1,3,4,3,1,3,4,33,2,1,2,3,1,0,1,1,0.9,0.9325
634,2,24,4,2,1355,1,2,3,2,1,4,2,25,0,1,1,2,1,1,1,2,0.4,0.175
750,1,6,4,3,428,1,5,2,2,1,1,3,49,2,1,1,3,1,1,1,1,0.2,0.94
755,1,24,4,2,1285,0,4,4,2,1,4,0,32,0,2,1,3,1,0,1,2,0.4,0.2875
780,2,39,3,1,4933,1,4,2,1,2,2,4,25,0,1,2,3,1,0,1,2,0.8,0.22
590,1,12,3,1,385,1,4,4,2,1,3,4,58,0,1,4,2,1,1,1,1,0.6,0.9475
445,4,9,3,6,1244,0,5,4,2,1,4,3,41,0,2,2,2,1,0,1,1,0.9,0.9575
272,2,48,1,2,12169,0,1,4,1,3,4,0,36,0,0,1,4,1,1,1,1,0.2,0.7625
877,4,36,4,1,3595,1,5,4,1,1,2,2,28,0,1,1,3,1,0,1,1,1.0,0.875
519,4,6,3,1,700,0,5,4,1,1,4,0,36,0,0,2,3,1,0,1,1,0.8,0.95
377,4,7,2,1,846,0,5,3,1,1,4,0,36,0,0,1,3,1,0,1,1,0.8,0.9
498,2,18,4,1,1301,1,5,4,3,2,2,4,32,0,1,1,2,1,0,1,1,0.7,0.895
878,1,9,4,2,1422,1,2,3,1,1,2,0,27,0,0,1,4,1,1,1,2,0.3,0.3175
930,1,24,4,3,1747,1,2,4,1,3,1,3,24,0,1,1,2,1,0,0,1,0.8,0.9575
947,4,12,4,2,2859,0,1,4,1,1,4,0,38,0,1,1,4,1,1,1,1,0.9,0.89
97,2,18,4,5,2622,2,3,4,1,1,4,2,34,0,1,1,3,1,0,1,1,0.7,0.755
128,2,12,3,4,1860,1,1,4,1,1,2,2,34,0,1,2,4,1,1,1,1,0.8,0.835
544,4,12,3,2,1255,1,5,4,1,1,4,4,61,0,1,2,2,1,0,1,1,1.0,0.8025
379,4,6,3,2,362,2,3,4,2,1,4,2,52,0,1,2,2,1,0,1,1,0.8,0.93
203,1,12,4,9,902,1,4,4,3,1,4,3,21,0,2,1,3,1,0,1,2,0.6,0.225
343,2,18,4,5,4439,1,5,1,1,3,1,4,33,2,1,1,4,1,1,1,1,0.8,0.915
888,4,36,3,2,6614,1,5,4,1,1,4,2,34,0,1,2,4,1,1,1,1,0.9,0.8
808,2,42,1,4,9283,1,1,1,1,1,2,0,55,2,0,1,4,1,1,1,1,0.5,0.715
518,1,6,4,2,1203,2,5,3,1,1,2,3,43,0,1,1,3,1,1,1,1,0.4,0.9425
779,2,18,4,7,3872,1,1,2,2,1,4,2,67,0,1,1,3,1,1,1,1,0.6,0.925
488,4,10,4,2,1418,2,3,3,1,1,2,4,35,0,2,1,2,1,0,0,1,1.0,0.9575
237,2,21,4,5,2767,2,5,4,4,1,2,2,61,2,2,2,2,1,0,1,2,0.7,0.26
549,4,48,3,4,8858,0,4,2,1,1,1,0,35,0,0,2,3,1,1,1,1,1.0,0.89
400,4,18,4,1,1473,1,2,3,3,1,4,4,39,0,1,1,3,1,1,1,1,1.0,0.8675
570,1,24,4,3,3234,1,2,4,2,1,4,4,23,0,2,1,2,1,1,1,2,0.6,0.145
232,4,12,4,1,2141,2,4,3,1,1,1,0,35,0,1,1,3,1,0,1,1,0.8,0.9525
442,2,20,2,11,2629,1,3,2,1,1,3,2,29,2,1,2,3,1,1,1,1,0.4,0.8575
98,2,36,3,1,2337,1,5,4,1,1,4,4,36,0,1,1,3,1,0,1,1,0.8,0.9575
875,2,11,3,2,1322,4,3,4,2,1,4,2,40,0,1,2,3,1,0,1,1,0.4,0.965
978,4,24,2,2,2538,1,5,4,1,1,4,2,47,0,1,2,2,2,0,1,2,0.9,0.245
511,4,36,4,4,4686,1,3,2,1,1,2,0,32,0,0,1,4,1,1,1,1,0.9,0.94
612,1,21,4,1,3357,4,2,4,2,1,2,2,29,2,1,1,3,1,0,1,1,0.4,0.91
217,3,36,4,1,3913,1,3,2,1,1,2,4,23,0,1,1,3,1,1,1,1,0.9,0.7575
360,2,18,4,6,1239,0,3,4,1,1,4,0,61,0,0,1,3,1,0,1,1,0.4,0.8675
558,1,24,1,3,3552,1,4,3,1,1,4,2,27,2,1,1,3,1,0,1,2,0.3,0.2175
919,1,24,4,3,3345,1,5,4,1,1,2,3,39,0,2,1,4,1,1,1,2,0.6,0.285
958,1,28,4,2,4006,1,3,3,1,1,2,2,45,0,1,1,2,1,0,1,2,0.4,0.19
225,4,36,0,7,2613,1,3,4,1,1,2,2,27,0,1,2,3,1,0,1,1,0.9,0.755
18,2,24,4,4,12579,1,5,4,2,1,2,0,44,0,0,1,4,1,1,1,2,0.7,0.145
168,4,24,4,3,3972,1,4,2,2,1,4,3,25,0,2,1,3,1,1,1,1,0.9,0.8675
292,1,24,3,4,6419,1,5,2,2,1,4,0,44,0,0,2,4,2,1,1,1,0.6,0.84
607,2,36,4,1,2671,2,3,4,2,3,4,0,50,0,0,1,3,1,0,1,2,0.4,0.2975
397,1,36,3,3,2348,1,3,3,3,1,2,3,46,0,1,2,3,1,1,1,1,0.6,0.945
540,2,12,4,1,1534,1,2,1,3,1,1,4,23,0,2,1,3,1,0,1,2,0.7,0.305
328,3,36,4,1,4473,1,5,4,1,1,2,2,31,0,1,1,3,1,0,1,1,0.8,0.855
862,1,24,4,1,2439,1,2,4,2,1,4,4,35,0,1,1,3,1,1,1,2,0.6,0.1825
667,4,48,1,5,3609,1,3,1,2,1,1,4,27,1,1,1,3,1,0,1,1,0.8,0.875
93,3,24,3,3,3617,0,5,4,1,3,4,0,20,0,2,2,3,1,0,1,1,0.7,0.91
213,3,30,2,5,1908,1,5,4,1,1,4,4,66,0,1,1,4,1,1,1,2,0.9,0.245
337,1,15,4,10,1275,0,3,4,2,1,2,2,24,0,2,1,3,1,0,1,2,0.6,0.2275
425,2,18,4,4,2779,1,3,1,3,1,3,2,21,0,2,1,3,1,1,1,1,0.3,0.86
803,4,12,3,1,976,0,5,4,1,1,4,2,35,0,1,2,3,1,0,1,1,1.0,0.955
115,4,48,3,1,3578,0,5,4,1,1,1,4,47,0,1,1,3,1,1,1,1,1.0,0.9575
158,2,24,4,2,3512,2,4,2,1,1,3,2,38,2,1,2,3,1,1,1,1,0.3,0.935
989,2,24,3,1,1743,1,5,4,1,1,2,3,48,0,1,2,2,1,0,1,1,0.8,0.9675
112,2,18,4,2,6260,1,4,3,1,1,3,4,28,0,2,1,2,1,0,1,1,0.8,0.8875
36,4,48,3,6,6110,1,3,1,1,1,3,0,31,2,0,1,3,1,1,1,1,0.6,0.905
105,2,24,3,11,11938,1,3,2,1,3,3,2,39,0,1,2,4,2,1,1,2,0.5,0.255
362,3,12,2,2,2247,1,3,2,2,1,2,2,36,1,1,2,3,1,1,1,1,0.9,0.89
365,4,12,4,5,1542,1,4,2,1,1,4,2,36,0,1,1,3,1,1,1,1,0.9,0.96
441,1,12,4,3,1620,1,3,2,2,3,3,3,30,0,1,1,3,1,0,1,1,0.9,0.93
565,2,24,2,1,1553,2,4,3,2,1,2,3,23,0,2,2,3,1,1,1,1,0.4,0.8575
351,2,9,4,3,959,1,3,1,2,1,2,2,29,0,1,1,3,1,0,0,2,0.5,0.33
973,1,60,4,5,7297,1,5,4,1,3,4,0,36,0,2,1,3,1,0,1,2,0.3,0.175
249,4,18,4,1,433,1,1,3,2,3,4,4,22,0,2,1,3,1,0,1,2,0.9,0.235
852,4,15,3,1,1471,1,3,4,1,1,4,0,35,0,0,2,3,1,1,1,1,0.8,0.9425
796,1,18,4,4,7511,0,5,1,1,1,4,3,51,0,0,1,3,2,1,1,2,0.5,0.2125
406,4,24,3,4,2197,0,4,4,1,1,4,2,43,0,1,2,3,2,1,1,1,1.0,0.98
853,1,18,1,2,1442,1,4,4,1,1,4,0,32,0,0,2,2,2,0,1,2,0.3,0.1125
164,4,36,4,2,909,3,5,4,1,1,4,3,36,0,1,1,3,1,0,1,1,1.0,0.94
876,1,18,1,1,1940,1,2,3,1,3,4,0,36,2,0,1,4,1,1,1,1,0.4,0.795
861,4,18,2,5,2169,1,3,4,3,1,2,2,28,0,1,1,3,1,1,1,2,0.8,0.2375
828,1,36,4,4,8335,0,5,3,1,1,4,0,47,0,0,1,3,1,0,1,2,0.4,0.245
83,1,24,4,11,1755,1,5,4,2,2,4,4,58,0,1,1,2,1,1,1,1,0.4,0.9775
698,4,18,3,1,1800,1,3,4,1,1,2,2,24,0,1,2,3,1,0,1,1,1.0,0.875
295,2,48,4,3,9960,1,2,1,2,1,2,2,26,0,1,1,3,1,1,1,2,0.5,0.1
70,4,36,4,4,8133,1,3,1,2,1,2,3,30,2,1,1,3,1,0,1,1,0.8,0.845
610,1,12,4,10,741,2,1,4,2,1,3,3,22,0,1,1,3,1,0,1,2,0.5,0.1525
664,3,6,3,6,1047,1,3,2,2,1,4,3,50,0,1,1,2,1,0,1,1,0.9,0.91
923,2,12,4,2,2002,1,4,3,1,1,4,3,30,0,2,1,3,2,1,1,1,0.6,0.925
963,4,24,4,1,2397,3,5,3,1,1,2,2,35,2,1,2,3,1,1,1,2,0.8,0.3425
902,4,36,3,4,10477,0,5,2,1,1,4,0,42,0,0,2,3,1,0,1,1,1.0,0.8775
724,4,27,4,2,2570,1,3,3,2,1,3,4,21,0,2,1,3,1,0,1,2,0.8,0.1325
127,2,12,4,7,639,1,3,4,1,1,2,2,30,0,1,1,3,1,0,1,2,0.6,0.21
840,1,36,4,3,5179,1,4,4,1,1,2,3,29,0,1,1,3,1,0,1,2,0.7,0.28
1,2,48,4,1,5951,1,3,2,2,1,2,4,22,0,1,1,3,1,0,1,2,0.5,0.1925
897,4,12,3,3,1592,4,4,3,2,1,2,3,35,0,1,1,3,1,0,0,1,0.8,0.985
539,3,18,4,3,3049,1,2,1,2,1,1,3,45,1,1,1,2,1,0,1,1,0.7,0.95
601,2,9,4,3,918,1,3,4,2,1,1,3,30,0,1,1,3,1,0,1,2,0.4,0.245
308,2,8,4,3,1237,1,3,3,2,1,4,4,24,0,1,1,3,1,0,1,2,0.5,0.255
585,1,18,4,3,2039,1,3,1,2,1,4,4,20,2,2,1,3,1,0,1,2,0.4,0.3025
410,2,24,4,1,1967,1,5,4,2,1,4,2,20,0,1,1,3,1,1,1,1,0.6,0.8225
171,4,12,4,3,763,1,3,4,2,1,1,4,26,0,1,1,3,1,1,1,1,0.9,0.885
417,1,18,2,6,8471,0,3,1,2,1,2,2,23,0,2,2,3,1,1,1,1,0.4,0.8225
763,4,21,3,2,12680,0,5,4,1,1,4,0,30,0,0,1,4,1,1,1,2,0.9,0.28
935,2,30,2,1,1919,2,2,4,1,1,3,0,30,1,1,2,4,1,0,1,2,0.2,0.2075
603,4,36,4,3,3349,1,3,4,2,1,2,2,28,0,1,1,4,1,1,1,2,0.8,0.2725
460,1,36,4,3,3620,1,3,1,1,2,2,3,37,0,1,1,3,2,0,1,1,0.8,0.9525
866,1,18,4,1,2389,1,2,4,2,1,1,2,27,1,1,1,3,1,0,1,1,0.5,0.9
637,4,60,2,1,15653,1,4,2,1,1,4,2,21,0,1,2,3,1,1,1,1,1.0,0.77
423,4,21,2,3,1591,2,4,4,1,1,3,4,34,0,1,2,4,1,0,1,1,0.9,0.9175
315,1,36,1,3,2746,1,5,4,1,1,4,2,31,2,1,1,3,1,0,1,2,0.3,0.1025
376,4,18,2,1,2320,1,1,2,3,1,3,4,34,0,1,2,3,1,0,1,1,1.0,0.8475
524,2,18,4,1,1113,1,3,4,2,2,4,4,26,0,1,1,2,2,0,1,1,0.9,0.86
867,4,12,3,3,3331,1,5,2,1,1,4,3,42,1,1,1,3,1,0,1,1,0.9,0.885
438,1,42,3,7,3394,1,1,4,1,3,4,2,65,0,1,2,1,1,0,1,1,0.6,0.845
739,2,30,0,5,4280,2,3,4,2,1,4,2,26,0,2,2,2,1,0,1,2,0.3,0.1575
150,4,6,4,1,1346,2,5,2,1,1,4,0,42,2,0,1,3,2,1,1,1,0.7,0.955
999,2,45,3,4,4576,2,1,3,1,1,4,2,27,0,1,1,3,1,0,1,1,0.8,0.7975
556,2,18,0,2,2278,2,2,3,2,1,3,2,28,0,1,2,3,1,0,1,2,0.4,0.1975
819,1,18,4,1,1345,1,3,4,3,1,3,4,26,2,1,1,3,1,0,1,2,0.5,0.28
807,4,12,3,1,930,0,5,4,1,1,4,4,65,0,1,4,3,1,0,1,1,1.0,0.955
409,3,12,3,2,939,3,4,4,3,1,2,4,28,0,1,3,3,1,1,1,2,0.9,0.355
143,1,18,4,3,2462,1,3,2,1,1,2,2,22,0,1,1,3,1,0,1,2,0.5,0.25
526,4,15,3,6,1532,2,3,4,2,1,3,2,31,0,1,1,3,1,0,1,1,0.9,0.9175
858,1,15,4,2,3959,1,3,3,2,1,2,3,29,0,1,1,3,1,1,1,2,0.4,0.25
986,3,42,0,5,6289,1,2,2,4,1,1,3,33,0,1,2,3,1,0,1,1,0.5,0.845
827,4,18,0,5,4165,1,3,2,1,1,2,2,36,1,1,2,3,2,0,1,2,0.7,0.17
208,1,24,4,5,6568,1,3,2,3,1,2,2,21,1,1,1,2,1,0,1,1,0.6,0.6975
440,4,12,4,2,1884,1,5,4,1,1,4,2,39,0,1,1,4,1,1,1,1,0.9,0.945
131,1,36,2,6,6887,1,3,4,1,1,3,3,29,1,1,1,3,1,1,1,2,0.6,0.145
380,1,20,4,3,2212,0,4,4,1,1,4,2,39,0,1,1,3,1,1,1,1,0.5,0.8875
174,1,21,2,6,3414,1,2,2,1,1,1,3,26,0,1,2,3,1,0,1,2,0.5,0.235
533,4,24,4,1,1311,2,4,4,3,1,3,3,26,0,1,1,3,1,1,1,1,0.9,0.9425
270,4,18,4,2,2662,0,4,4,1,1,3,3,32,0,1,1,3,1,0,0,1,1.0,0.9125
407,1,15,4,1,1053,1,2,4,3,1,2,4,27,0,1,1,3,1,0,0,1,0.4,0.92
869,1,12,4,3,652,1,5,4,2,1,4,3,24,0,2,1,3,1,0,1,1,0.7,0.9075
123,3,10,3,2,781,1,5,4,1,1,4,0,63,0,0,2,3,1,1,1,1,0.6,0.9625
138,2,15,3,1,2728,0,4,4,1,2,2,4,35,2,1,3,3,1,1,1,1,0.6,0.96
51,2,27,2,4,5965,1,5,1,1,1,2,2,30,0,1,2,4,1,1,1,1,0.8,0.8775
624,1,18,4,1,2600,1,3,4,1,1,4,0,65,0,0,2,3,1,0,1,2,0.2,0.265
275,4,9,4,1,2697,1,3,1,1,1,2,4,32,0,1,1,3,2,0,1,1,1.0,0.98
965,2,30,4,1,1715,0,3,4,2,1,1,2,26,0,1,1,3,1,0,1,1,0.6,0.925
342,2,18,4,1,3213,3,2,1,3,1,3,4,25,0,2,1,3,1,0,1,1,0.7,0.905
256,4,24,3,1,2684,1,3,4,1,1,2,4,35,0,1,2,2,1,0,1,1,1.0,0.965
182,1,21,1,2,1647,0,3,4,1,1,2,3,40,0,1,2,2,2,0,1,2,0.5,0.2225
617,1,6,3,2,3676,1,3,1,1,1,3,4,37,0,2,3,3,2,0,1,1,0.8,0.9625
300,4,6,4,2,672,1,1,1,2,1,4,4,54,0,1,1,1,1,1,1,1,0.9,0.9375
690,1,15,3,3,975,1,3,2,4,1,3,3,25,0,1,2,3,1,0,1,1,0.5,0.9475
765,2,12,4,1,1155,1,5,3,3,2,3,4,40,2,1,2,2,1,0,1,1,0.7,0.905
240,1,24,4,2,915,0,5,4,2,1,2,2,29,2,1,1,3,1,0,1,2,0.3,0.265
230,3,36,4,1,4210,1,3,4,1,1,2,2,26,0,1,1,3,1,0,1,2,0.8,0.21
915,2,48,0,11,18424,1,3,1,2,1,2,3,32,2,1,1,4,1,1,0,2,0.4,0.1975
